Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
MMPB,America/Mexico_City,1980-03-02,48.20,66.20,46.40,50.00,2.24,4.70,,NE,6.21,9.32,,,,,FEW,mostly clear,BKN,mostly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-03,71.60,71.60,51.80,51.80,2.24,2.30,,S,9.00,9.32,,,,,CLR,clear,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-04,48.20,75.20,41.00,57.20,0.00,9.21,,S,6.21,20.00,,,,,NCD,no cloud detected,ICC06,six oktas - 7/10 - 8/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-05,73.40,75.20,48.20,57.20,2.24,4.70,,SW,9.00,12.43,,,,,NCD,no cloud detected,ICC03,three oktas - 4/10,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-07,73.40,77.00,53.60,57.20,2.24,2.30,,N,10.00,12.43,,,,,NCD,no cloud detected,BKN,mostly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-08,50.00,82.40,42.80,60.80,2.24,3.45,,N,3.00,7.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,IWC06,dust,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-09,46.40,82.40,41.00,57.20,0.00,2.30,,S,6.21,7.00,,,,,NCD,no cloud detected,SCT,partly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-10,60.80,84.20,50.00,57.20,0.00,4.70,,SE,6.21,12.43,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-11,46.40,82.40,37.40,59.00,0.00,4.70,,N,6.21,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-12,50.00,80.60,46.40,57.20,0.00,4.70,,SE,6.21,9.32,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-13,50.00,82.40,46.40,59.00,0.00,2.30,,SE,6.21,9.32,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-14,78.80,78.80,42.80,42.80,0.00,4.70,,SE,6.21,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-15,50.00,78.80,46.40,59.00,0.00,4.70,,N,6.21,12.43,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-16,48.20,78.80,44.60,59.00,0.00,3.45,,S,6.21,9.32,,,,,NCD,no cloud detected,FEW,mostly clear,IWC20,drizzle/snow grains,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-17,73.40,80.60,53.60,60.80,0.00,11.51,,NE,6.21,7.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-18,51.80,75.20,48.20,57.20,0.00,3.45,,SE,6.21,9.32,,,,,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-19,46.40,77.00,42.80,59.00,0.00,4.70,,SE,6.21,9.32,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-20,75.20,77.00,57.20,60.80,4.60,4.70,,SE,6.21,7.00,,,,,SCT,partly cloudy,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-21,80.60,80.60,57.20,57.20,6.90,6.93,,S,10.00,12.43,,,,,CLR,clear,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-22,77.00,77.00,57.20,59.00,2.24,4.70,,SE,9.00,12.43,,,,,NCD,no cloud detected,ICC05,five oktas - 6/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-03-23,77.00,78.80,55.40,59.00,3.36,3.45,,SE,9.00,12.43,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
